Timestamp,FlexL,AbducL,FlexR,AbducR
2344.121000,18.184670,18.184670,75.973210,75.973210
2344.155000,19.565880,19.565880,76.620570,76.620570
2344.190000,19.565630,19.565630,76.618870,76.618870
2344.221000,20.925600,20.925600,75.927450,75.927450
2344.256000,20.925890,20.925890,75.925320,75.925320
2344.288000,21.774790,21.774790,79.157830,79.157830
2344.322000,22.549310,22.549310,79.190670,79.190670
2344.354000,22.520760,22.520760,78.783490,78.783490
2344.388000,22.125070,22.125070,77.116230,77.116230
2344.422000,22.116200,22.116200,77.098690,77.098690
2344.455000,21.775780,21.775780,76.421830,76.421830
2344.489000,21.691310,21.691310,73.863620,73.863620
2344.522000,23.857990,23.857990,73.394190,73.394190
2344.556000,23.827910,23.827910,72.742890,72.742890
2344.590000,22.912820,22.912820,71.551560,71.551560
2344.623000,21.461040,21.461040,69.326740,69.326740
2344.654000,22.531180,22.531180,76.248870,76.248870
